Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss
16-06-2014,19,26.8,22.2,84,10.3,0.5
17-06-2014,20,26.2,22.4,89,30.2,2.9
18-06-2014,19,26.4,21.9,86,2.7,3.2
19-06-2014,18,24.6,21.2,90,9.6,4.8
20-06-2014,19,27.8,22.9,82,0,0.1
21-06-2014,19,27.5,21.7,87,0.5,6.3
22-06-2014,19,27.4,22,86,10.2,3
23-06-2014,19,27,22.3,86,4.7,5.9
24-06-2014,19,27.4,22.5,83,0,4
25-06-2014,19,26.3,21.6,91,0,2.1
26-06-2014,19,24.4,21.3,92,16.4,0.3
27-06-2014,18,24.3,20.6,92,1,0.4
28-06-2014,18,24.8,21.1,87,0,0
29-06-2014,18,25.6,21.7,84,0,1.1
30-06-2014,18,27.8,21.6,77,0,2.7
01-07-2014,17,26.3,21.2,79,0,3.4
02-07-2014,18,24.6,20.6,88,0,7
03-07-2014,17,26.8,21.5,79,1.2,0.8
04-07-2014,17,27,22,81,0,5.1
05-07-2014,19,25.5,21.6,90,0,5.2
06-07-2014,19,25.2,21.4,92,34.5,1.6
07-07-2014,18,24.3,20.7,90,1.5,1.3
08-07-2014,19,23.6,21,90,0.6,1.4
09-07-2014,19,25.8,21.7,88,17.5,0
10-07-2014,19,26,22,89,2.6,2.4
11-07-2014,18,25.2,20.8,93,7.2,3.5
12-07-2014,18,24.2,20.6,94,6.5,3.6
13-07-2014,19,21.3,19.2,97,54.7,1.2
14-07-2014,18,27,23.3,63,23.6,0
15-07-2014,18,27.3,22.2,77,0,9.3
16-07-2014,17,26.8,21.5,82,0,8.5
17-07-2014,19,27.2,21.9,78,0,6.8
18-07-2014,17,28,21.6,85,0,6.9
19-07-2014,18,26,21.6,84,0,7.4
20-07-2014,18,25.8,20.7,92,70.5,5.4
21-07-2014,18,26,20.9,90,54.5,5.5
22-07-2014,18,27.2,22.2,86,0.6,5.4
23-07-2014,19,25.4,20.9,88,0.8,7.3
24-07-2014,18,26.4,21.6,79,0.4,1.2
25-07-2014,18,26.4,21.5,84,0,5
26-07-2014,18,24.6,19.7,94,0.1,2.3
27-07-2014,18,25.3,20.5,92,66.4,2.1
28-07-2014,18,26.8,20.9,84,0.8,1.1
29-07-2014,18,28,21.7,85,0,8
30-07-2014,18,26.8,21.4,85,0.1,6.9
31-07-2014,18,25.5,21.2,80,0,6.6
01-08-2014,18,26.8,21.4,81,0,4.2
02-08-2014,17,25.4,20.8,83,0,8.9
03-08-2014,17,26,20.7,89,2.8,6
04-08-2014,18,25.1,20.7,91,7.4,4.2
05-08-2014,17,27.8,21.9,82,59,4.8
06-08-2014,19,27,23.1,73,0,6.7
07-08-2014,17,26.6,21.8,83,0,8.8
08-08-2014,17,26.7,21.2,83,0,8.8
09-08-2014,18,27.9,21.8,81,0,5.3
10-08-2014,17,26,20.8,87,0,7.2
11-08-2014,18,24.2,20.1,95,10.4,3
12-08-2014,17,24.8,19.9,89,24.2,2.3
13-08-2014,17,26,20.6,89,35.3,4.2
14-08-2014,16,25.2,20.6,85,0.3,5.7
15-08-2014,17,25.6,20.7,89,9,5.4
16-08-2014,17,25.4,20.8,83,0.2,4.8
17-08-2014,17,26.4,20.7,82,0,6.2
18-08-2014,17,25,20.4,83,0,7
19-08-2014,17,25.3,20.6,81,0,4.2
20-08-2014,17,26.6,20.2,78,0,5.2
21-08-2014,16,26.2,20.8,84,9.8,7.6
22-08-2014,17,27.8,21.9,77,0.3,6
23-08-2014,18,27.2,21.9,86,0,9.1
24-08-2014,18,25.4,20.9,90,6,6.1
25-08-2014,18,25.8,21.2,87,5.4,3.8
26-08-2014,17,26,20.5,86,23.8,3.9
27-08-2014,16,25.8,20.6,85,2.2,6.7
28-08-2014,17,25.6,19.9,83,0,5.7
29-08-2014,17,24.6,19.9,92,26.5,4.4
30-08-2014,17,25.2,20.6,84,26.9,3.2
31-08-2014,17,25.7,20.8,87,0.3,4.1
01-09-2014,17,25.2,20.7,90,0,6.1
02-09-2014,17,26.8,21.5,87,0.8,3
03-09-2014,17,27.4,21.9,83,0,5.4
04-09-2014,17,26.8,21.2,78,0,7.6
05-09-2014,17,27.2,20.8,68,0,4.4
06-09-2014,17,25.6,21,83,0,7.4
07-09-2014,17,28,22.3,82,0,7.2
08-09-2014,17,26.4,21.1,82,0,6.7
09-09-2014,18,26.8,21.8,77,0,5.8
10-09-2014,17,26.8,20.9,81,0,5.5
11-09-2014,17,26.8,20.6,80,0,7
12-09-2014,17,27.6,21.5,77,0,6.1
13-09-2014,17,26.4,21.1,81,0,6.6
14-09-2014,17,27.8,21.4,78,0,8
15-09-2014,17,26.6,21,72,0,8.6
16-09-2014,16,27.6,21,69,0,6.5
17-09-2014,17,27.7,21.8,73,0,7.6
18-09-2014,17,28.9,22.7,74,0,9.6
19-09-2014,19,28.6,23.7,72,0,9.2
20-09-2014,19,25.4,21.1,88,0,6.6
21-09-2014,17,27.6,21.3,82,32.4,3.6
22-09-2014,17,27.2,22,69,0,8.5
23-09-2014,16,27.7,21.8,72,0,8.9
24-09-2014,17,29,22.9,58,0,9.2
25-09-2014,18,26.6,21.6,74,0,9.7
26-09-2014,17,26.8,21,65,0,5.4
27-09-2014,16,28,21.6,62,0,6.6
28-09-2014,17,27.2,21.8,73,0,8
29-09-2014,17,27.4,21.1,87,0,5.9
30-09-2014,17,27,21.2,79,0.4,6.4
01-10-2014,18,25.7,21.1,84,0,5.6
02-10-2014,18,26.4,21.3,85,0,3.8
03-10-2014,18,26.7,21.2,82,0,4.8
04-10-2014,18,27.6,21.9,76,0,4.9
05-10-2014,18,26.7,20.9,78,0,7
06-10-2014,18,25,20.6,83,10.33774296,5.4
07-10-2014,18,27.4,21.9,77,0,0.7
08-10-2014,18,27.2,21.2,83,2.5,3.9
09-10-2014,16,28.1,22.3,72,5.9,1.5
10-10-2014,17,29.4,22,66,0,7.1
11-10-2014,17,31,23.8,61,0,8.4
12-10-2014,18,27.8,22.7,76,0,8
13-10-2014,17,27.5,21.5,82,0,6
14-10-2014,19,26.6,21.5,87,14.3,4.5
15-10-2014,19,26.1,20.9,89,0,2.3
16-10-2014,19,28.5,22.4,85,18.8,3.9
17-10-2014,18,28.4,21.7,85,0.4,7.4
18-10-2014,18,29.1,23.1,76,0,8.4
19-10-2014,18,28,22.3,79,0,6.3
20-10-2014,19,28.4,22.9,75,0,3.8
21-10-2014,19,27.9,22.7,78,0,7.6
22-10-2014,19,27.6,22.7,80,0,4.7
23-10-2014,17,25.4,20.9,88,5.3,5.9
24-10-2014,17,27.4,21.6,84,10.5,3.3
25-10-2014,17,27.2,21.2,85,0.3,6.1
26-10-2014,18,27.4,21.9,87,9.5,5.4
27-10-2014,17,27.2,20.9,90,21.5,4.9
28-10-2014,18,26.1,21.4,84,0,7
29-10-2014,19,25.4,21,88,0.2,4.1
30-10-2014,19,26,21.8,88,5,3.4
31-10-2014,18,25.8,24.1,86,0,1.2
01-11-2014,19,27.6,22.7,84,26,3.4
02-11-2014,19,28.4,22.5,81,0.8,6.9
03-11-2014,19,28,22.4,84,26,7.2
04-11-2014,18,27.6,22.5,82,0,7.7
05-11-2014,19,25.9,21.5,89,41,7.6
06-11-2014,18,26.7,21.4,85,3.6,0
07-11-2014,19,24.2,20.6,92,6.9,7.3
08-11-2014,18,26.8,20.2,89,0.3,0.7
09-11-2014,19,25.8,21.6,89,20.8,3.5
10-11-2014,18,26.5,21.6,88,11.1,3.7
11-11-2014,18,23.5,20.1,96,50,4.5
12-11-2014,19,26.4,21.8,86,25.8,0.6
13-11-2014,18,24.7,20.3,88,33.4,4.1
14-11-2014,18,24.2,21.1,90,49.6,3.1
15-11-2014,19,26.8,22.3,82,0.2,1.2
16-11-2014,19,25.8,21.6,88,0,6.5
17-11-2014,18,24.8,20.8,92,49.3,2.1
18-11-2014,18,24.1,20.2,95,35.9,2.4
19-11-2014,19,25.9,21.1,91,2,1.8
20-11-2014,19,26.8,22.5,85,86.5,4.6
21-11-2014,19,27,21.8,90,0,6.7
22-11-2014,18,26.6,21.5,89,1,3
23-11-2014,18,28.4,22.3,85,1.3,6.1
24-11-2014,19,25.5,20.9,91,5.7,7.3
25-11-2014,19,25.8,20.8,92,17.9,3.3
26-11-2014,19,25.6,20.8,93,27.5,4.9
27-11-2014,19,28.2,22.2,86,6.8,1.8
28-11-2014,19,26.2,20.8,89,10.33774296,6.5
29-11-2014,19,25.6,21.4,88,3.9,3.1
30-11-2014,19,25.5,21.9,82,15,1.7
01-12-2014,19,28.5,23.1,74,0,0.8
02-12-2014,19,24.6,20.8,89,0,2.3
03-12-2014,19,26,21.1,88,0.4,0
04-12-2014,18,25.8,21.6,86,10.33774296,3.2
05-12-2014,19,24.8,21,90,0,0.6
06-12-2014,18,25.9,21.2,88,2.7,0.3
07-12-2014,18,25,20.6,90,3.3,0.8
08-12-2014,19,25.2,21.2,89,3,3.808420209
09-12-2014,20,24.1,21.3,90,2.5,2.6
10-12-2014,18,25.4,21.4,84,0,0.9
11-12-2014,18,26.6,22.2,84,1.4,3.5
12-12-2014,20,25,22.2,80,10.33774296,5.2
13-12-2014,20,23.9,21.4,89,3.7,0.4
14-12-2014,19,25.8,21.7,87,0,3.808420209
15-12-2014,20,26.4,22.8,84,10.33774296,4
16-12-2014,20,24.4,21.9,89,10.33774296,3
17-12-2014,18,27.6,22.4,84,3.3,2.9
18-12-2014,20,27.6,22.5,85,10.33774296,3.808420209
19-12-2014,19,26.3,21.4,90,7.8,1.6
20-12-2014,19,24.8,20.7,93,75.2,2.2
21-12-2014,18.67801939,26.6,21.51795008,85.83150868,15.5,2.9
22-12-2014,20,24.4,20.9,95,91.5,3.2
23-12-2014,19,25.90331108,21.5,88,52,3.808420209
24-12-2014,19,27.9,21.1,87,26.7,4.6
25-12-2014,19,25.8,21.7,90,33.5,4.7
26-12-2014,20,26.9,21.4,91,6.9,2.7
27-12-2014,20,25.90331108,21.51795008,85.83150868,109.9,2.2
28-12-2014,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
29-12-2014,19,26.6,22,83,4.9,0
30-12-2014,19,25.90331108,21.51795008,85.83150868,10.33774296,2.7
31-12-2014,20,25.90331108,20.3,94,1.5,0.9
01-01-2015,18,24.9,20.8,88,6.2,0.2
02-01-2015,18,24.4,21.2,87,4,0.1
03-01-2015,18.67801939,22.6,20,93,0.8,3.808420209
04-01-2015,19,21.7,19.6,94,13.2,0.2
05-01-2015,19,27,21.5,85,25.2,0
06-01-2015,19,24.6,20.6,86,0,3.8
07-01-2015,18,25.7,21,90,2.8,1.9
08-01-2015,19,27.4,22.4,79,7.8,3.5
09-01-2015,20,26.2,21.6,83,10.33774296,5.3
10-01-2015,19,26.2,21.51795008,85.83150868,0.1,3.808420209
11-01-2015,18,25.2,21.2,82,10.33774296,3.2
12-01-2015,18,23.8,20.5,92,0.4,4.2
13-01-2015,19,24.2,20.7,92,5.5,3.5
14-01-2015,18,27.6,20.5,90,24.5,1
15-01-2015,19,25.6,21.8,85,11.5,1.1
16-01-2015,18,25.90331108,20.2,91,3,3.808420209
17-01-2015,19,23.3,20.4,92,9.3,1.8
18-01-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
19-01-2015,19,21.4,19.4,97,1.8,0
20-01-2015,18,25.90331108,19.5,94,6.8,0
21-01-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
22-01-2015,18,25.90331108,19.5,98,41.5,3.808420209
23-01-2015,18,21.5,19.2,96,32.8,0.7
24-01-2015,18,23.8,19.8,95,0.5,0
25-01-2015,18,25.90331108,20.2,93,22.7,0.6
26-01-2015,18,22.8,20.1,93,10.4,1.6
27-01-2015,18,25.90331108,21.51795008,85.83150868,4.8,1.9
28-01-2015,18,24.8,20.5,92,5,0.7
29-01-2015,18,26.2,20.9,88,36.2,3.4
30-01-2015,18,25.90331108,21.51795008,85.83150868,0.4,5.1
31-01-2015,18.67801939,23.2,20.1,95,7,3.808420209
01-02-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
02-02-2015,18,25.90331108,21.51795008,85.83150868,36.8,3.808420209
03-02-2015,19,25.90331108,21.51795008,85.83150868,0,0.5
04-02-2015,18,25.90331108,21.51795008,85.83150868,13.7,0.2
05-02-2015,18.67801939,25.90331108,21.51795008,85.83150868,36,0
06-02-2015,19,25.90331108,21.51795008,85.83150868,2.8,1.6
07-02-2015,18,25.90331108,21.51795008,85.83150868,25.3,0
08-02-2015,19,25.90331108,21.51795008,85.83150868,8.2,2
09-02-2015,19,20.2,19.4,98,37,1.3
10-02-2015,18,25.90331108,21.51795008,85.83150868,38.6,0
11-02-2015,18,22.4,19,98,4.9,0.6
12-02-2015,18,23.2,19.8,95,1.7,0
13-02-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
14-02-2015,18.67801939,25.90331108,21.51795008,85.83150868,18,3.808420209
15-02-2015,18,25.90331108,21.51795008,85.83150868,0,4
16-02-2015,18,25.5,20.3,93,7,4.2
17-02-2015,18.67801939,25.90331108,21.51795008,85.83150868,3.6,3.808420209
18-02-2015,19,25.90331108,21.51795008,85.83150868,9.1,1.8
19-02-2015,19,25.90331108,21.51795008,85.83150868,71.8,2.2
20-02-2015,19,25.2,21.51795008,85.83150868,13,0
21-02-2015,18,27.8,22.4,68,0,2
22-02-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
23-02-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
24-02-2015,19,26.6,22.4,79,2.7,3.4
25-02-2015,18,27.4,21.9,80,0,7.1
26-02-2015,18.67801939,27.4,21.51795008,85.83150868,0.7,3.808420209
27-02-2015,19,26.1,21,89,0,4.7
28-02-2015,20,25.90331108,21.51795008,85.83150868,14.5,2.3
01-03-2015,19,23.8,20.5,93,52,1
02-03-2015,18,23.9,19.7,94,10.6,2.1
03-03-2015,19,24.2,21.51795008,85.83150868,31.1,2.9
04-03-2015,18,25.90331108,21.51795008,85.83150868,2.2,1.1
05-03-2015,19,24.2,20.7,87,0,1.1
06-03-2015,19,26.2,21.7,84,2.4,1.3
07-03-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
08-03-2015,19,21.3,19.9,91,0.1,0.3
09-03-2015,18,24.9,20.8,84,15.9,0
10-03-2015,18,25.8,20.8,87,6.2,4.2
11-03-2015,18,25.90331108,21.51795008,85.83150868,0.8,4
12-03-2015,19,23.8,21.51795008,85.83150868,18.8,3.808420209
13-03-2015,19,25.90331108,20.9,91,2.4,3
14-03-2015,19,24.8,20.8,90,4.8,2.7
15-03-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
16-03-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
17-03-2015,18,27.8,21.7,82,0,6.2
18-03-2015,19,26.2,21.6,86,0,7.8
19-03-2015,19,26.3,21.2,91,10.9,4
20-03-2015,19,26,21.8,85,67.8,3.6
21-03-2015,19,25.90331108,21.51795008,85.83150868,5,0.8
22-03-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
23-03-2015,18,25.90331108,21.3,84,37,4.5
24-03-2015,19,25,20.7,92,10.33774296,3.808420209
25-03-2015,18,25.90331108,21.51795008,85.83150868,5.9,2.5
26-03-2015,19,25,21.51795008,85.83150868,17.6,4.1
27-03-2015,18,25.90331108,21.7,87,6.5,2.7
28-03-2015,18,26.9,21.6,85,0.8,6.8
29-03-2015,19,25.90331108,21.51795008,85.83150868,1.2,6
30-03-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
31-03-2015,19,25.6,21.4,93,35.7,3.3
01-04-2015,19,26.2,21.8,94,32,4.5
02-04-2015,20,25.8,21.6,92,2.2,4
03-04-2015,19,26.2,21.6,91,11.5,0.6
04-04-2015,20,26,21,89,2.6,2.7
05-04-2015,18,25.6,21.3,91,13.7,2.1
06-04-2015,18,28,22.3,85,0,4.7
07-04-2015,19,26.4,22,83,1.7,3.808420209
08-04-2015,19,26.2,22.2,85,10.33774296,4
09-04-2015,19,26.8,21.7,90,1.3,5.5
10-04-2015,19,28.5,22.6,85,0.3,5.2
11-04-2015,19,27.5,22.7,85,0,7.6
12-04-2015,19,25.2,21.1,91,14.4,4.2
13-04-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
14-04-2015,19,26.2,20.7,90,10.33774296,0.6
15-04-2015,18,25.2,20.4,93,20.9,2.1
16-04-2015,19,27.4,22.2,89,11.9,3.808420209
17-04-2015,20,27.6,21.7,91,1.1,3.4
18-04-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
19-04-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
20-04-2015,19,25.90331108,21.51795008,85.83150868,1,3.808420209
21-04-2015,19,25.90331108,21.51795008,85.83150868,11,4
22-04-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
23-04-2015,19,26.4,22,84,45.1,4.7
24-04-2015,19,25.90331108,20.5,93,0.3,3.808420209
25-04-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
26-04-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
27-04-2015,20,26.2,20.9,89,18.1,5.8
28-04-2015,19,22.6,22.7,82,7.2,3.2
29-04-2015,18,27.2,22,91,10.33774296,5.6
30-04-2015,19,27.8,22,83,10.33774296,5.2
01-05-2015,19,26,21.2,87,0,0.5
02-05-2015,19,25.8,21.6,87,12,2.8
03-05-2015,19,23.8,20.3,93,1.7,0.7
04-05-2015,19,26.4,21,88,44,3.808420209
05-05-2015,18,25,20,90,2.9,2.4
06-05-2015,18,26.4,21.7,86,42,2.9
07-05-2015,18,25.2,21.9,89,25.4,4.5
08-05-2015,19,25.1,21.5,90,0.1,2.8
09-05-2015,19,25.90331108,21.51795008,85.83150868,0.9,3.1
10-05-2015,19,24.2,21.8,85,10.33774296,5.5
11-05-2015,19,26.4,21.6,80,10.33774296,1.6
12-05-2015,19,27.4,21.51795008,85.83150868,10.33774296,4.7
13-05-2015,18,25.90331108,21.51795008,85.83150868,0,5.3
14-05-2015,19,27,21.51795008,85.83150868,10.9,3.808420209
15-05-2015,19,25.90331108,21.51795008,85.83150868,2,3.8
16-05-2015,20,26.4,22.1,89,4.2,2
17-05-2015,19,26,21.51795008,85.83150868,1.7,5.6
18-05-2015,18,27.2,21.9,87,0.1,3.9
19-05-2015,18,25.9,21.7,87,0,6.7
20-05-2015,18,27.4,22.1,79,0,3.808420209
21-05-2015,19,27.2,21.2,80,0,7.8
22-05-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
23-05-2015,17,27.2,21.6,85.83150868,0,3.808420209
24-05-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
25-05-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
26-05-2015,18,25.8,21.51795008,85.83150868,0,3.808420209
27-05-2015,19,25.90331108,21.51795008,85.83150868,0.1,3.7
28-05-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
29-05-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
30-05-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
31-05-2015,18,28,22,82,0,3.808420209
01-06-2015,19,25.3,21.3,86,0,8.8
02-06-2015,20,27.3,22.1,86,7,2.1
03-06-2015,19,27.4,22.3,87,0.3,6.1
04-06-2015,19,28.6,21.51795008,85.83150868,0,5.3
05-06-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
06-06-2015,18,25.90331108,21.51795008,85.83150868,0,3.808420209
07-06-2015,18,26.6,22.1,88,10.33774296,6.5
08-06-2015,19,26.8,22.5,86,5.7,4
09-06-2015,20,24.6,20.9,92,10.33774296,4.8
10-06-2015,19,25.90331108,21.51795008,85.83150868,1.8,1
11-06-2015,19,26.2,21.51795008,85.83150868,0,3.808420209
12-06-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
13-06-2015,18,26.8,21.6,80,10.33774296,7.5
14-06-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
15-06-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
16-06-2015,16,27,21.2,85.83150868,10.33774296,3.808420209
17-06-2015,17,25.8,20.9,82,0,9.3
18-06-2015,17,27.6,21.2,85.83150868,0,3.808420209
19-06-2015,17,27.3,22.5,80,10.33774296,6.8
20-06-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
21-06-2015,18,25.90331108,22.2,78,0,7.3
22-06-2015,19,27.2,22.1,79,0,7.7
23-06-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
24-06-2015,18,25.90331108,21.51795008,85.83150868,0,8.3
25-06-2015,17,27,20.8,81,0,8.5
26-06-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
27-06-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
28-06-2015,18,27.3,21.7,80,0,3.808420209
29-06-2015,18.67801939,27.2,21.51795008,85.83150868,10.33774296,8.6
30-06-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
01-08-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
02-08-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
03-08-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
04-08-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
05-08-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
06-08-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
07-08-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
08-08-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
09-08-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
10-08-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
11-08-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
12-08-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
13-08-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
14-08-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
15-08-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
16-08-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
17-08-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
18-08-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
19-08-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
20-08-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
21-08-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
22-08-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
23-08-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
24-08-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
25-08-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
26-08-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
27-08-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
28-08-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
29-08-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
30-08-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
31-08-2015,17,25.90331108,21.51795008,85.83150868,10.33774296,6
01-09-2015,17,27.6,20.6,76,0,7.2
02-09-2015,16,29,21.3,75,0,7.7
03-09-2015,17,29.6,21.51795008,85.83150868,10.33774296,9.8
04-09-2015,16,28,21.4,77,10.33774296,9.8
05-09-2015,17,25.90331108,21.51795008,85.83150868,10.33774296,7
06-09-2015,16,27.4,21.51795008,85.83150868,10.33774296,3.808420209
07-09-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
08-09-2015,17,25.90331108,21.51795008,85.83150868,0,9.1
09-09-2015,18,26.7,21.6,81,0,6.5
10-09-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
11-09-2015,16,27.8,21.51795008,85.83150868,0,5.4
12-09-2015,18,25.90331108,21.51795008,85.83150868,0,8
13-09-2015,16,28.6,21.51795008,85.83150868,10.33774296,6.7
14-09-2015,16,27.8,21.9,74,10.33774296,7.8
15-09-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
16-09-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
17-09-2015,18,27.4,22.1,77,0,8.3
18-09-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
19-09-2015,18.67801939,29,21.51795008,85.83150868,10.33774296,3.808420209
20-09-2015,17,25.90331108,21.51795008,85.83150868,0,9.4
21-09-2015,18,28.6,21.8,76,0,6.6
22-09-2015,18,25.90331108,21.51795008,85.83150868,8.4,6
23-09-2015,18,29,21.8,69,0,7.6
24-09-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
25-09-2015,18,25.90331108,21.51795008,85.83150868,0,8.6
26-09-2015,17,25.90331108,21.7,85.83150868,8.8,5.2
27-09-2015,18,27.7,21.9,80,0,5
28-09-2015,18,26.6,21.2,88,0,7
29-09-2015,18,26.8,21.8,83,1.6,4.3
30-09-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
01-10-2015,18,27.2,22.5,69,0,5.3
02-10-2015,18,25.90331108,21.51795008,85.83150868,0,4.1
03-10-2015,18,25.90331108,21.51795008,85.83150868,1.3,3.1
04-10-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
05-10-2015,18,27.6,21.51795008,85.83150868,10.33774296,5.8
06-10-2015,18,25.90331108,21.51795008,85.83150868,0.9,5.9
07-10-2015,18,25.90331108,21.51795008,85.83150868,0,6.9
08-10-2015,17,25.7,20.9,82,11,4.5
09-10-2015,17,25.90331108,21.51795008,85.83150868,22.5,2.7
10-10-2015,18,27.6,21.4,79,1,4
11-10-2015,18,27.6,22.2,75,10.33774296,5
12-10-2015,18,28.2,22.3,71,0,6.4
13-10-2015,18.67801939,25.90331108,21.7,82,10.33774296,3.808420209
14-10-2015,18,27.2,21.6,85.83150868,12.5,6.6
15-10-2015,17,26.8,21.6,73,10.33774296,5.6
16-10-2015,18,26.2,21.4,81,0,6.9
17-10-2015,17,29.8,22.8,68,0,4.2
18-10-2015,18,29,23.3,65,0,9.3
19-10-2015,18,25.90331108,21.51795008,85.83150868,0,3.808420209
20-10-2015,18,28.2,21.51795008,85.83150868,0,5.6
21-10-2015,17,27.8,21.51795008,85.83150868,0,6.1
22-10-2015,19,28.4,22.4,70,10.33774296,6.3
23-10-2015,18,28.2,22.9,66,10.33774296,6.4
24-10-2015,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
25-10-2015,18,29.8,21.51795008,85.83150868,0,8.2
26-10-2015,18,29.4,21.51795008,85.83150868,0,3.808420209
27-10-2015,19,29.6,23.3,72,0,6.8
28-10-2015,18,30.1,23.7,68,0,7.2
