Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
2013-03-11,23,"34,4","27,4",85.0,0,"7,5",5.0,30.0,1.0,E 
2013-03-12,"23,4","32,6","27,1",90.0,0,"6,1",8.0,130.0,0.0,NW
2013-03-13,"23,4","32,4","26,5",93.0,"1,4","5,2",8.0,360.0,0.0,N 
2013-03-14,"22,8","31,4","26,2",92.0,,"5,5",5.0,160.0,1.0,S 
2013-03-15,"22,8","34,2","27,8",87.0,"1,5","7,9",5.0,140.0,1.0,SE
2013-03-16,25,34,"27,1",90.0,0,"6,3",3.0,140.0,0.0,SE
2013-03-17,"23,8","34,2","27,3",89.0,"27,2","6,2",4.0,270.0,0.0,W 
2013-03-18,24,"30,6","26,3",93.0,"16,5","3,7",5.0,360.0,0.0,N 
2013-03-19,"22,8",33,"27,2",85.0,"14,7","7,8",5.0,100.0,1.0,E 
2013-03-20,"22,8","33,8","27,5",87.0,0,"7,4",4.0,120.0,0.0,N 
2013-03-21,"24,6",33,"28,1",87.0,0,"6,6",3.0,110.0,0.0,SE
2013-03-22,"24,4","31,4","26,4",92.0,0,"1,5",6.0,360.0,2.0,N 
2013-03-23,"23,8",33,"27,6",88.0,0,"7,4",6.0,360.0,1.0,N 
2013-03-24,25,33,"27,5",88.0,0,"4,1",8.0,300.0,2.0,NW
2013-03-25,"24,6","33,4","28,7",82.0,0,"5,8",9.0,300.0,2.0,NW
2013-03-26,24,"33,4","27,9",82.0,0,"7,9",5.0,340.0,1.0,N 
2013-03-27,"22,8","32,8","27,2",86.0,0,"6,4",4.0,330.0,0.0,NW
2013-03-28,24,33,"27,7",87.0,0,"5,2",3.0,340.0,1.0,N 
2013-03-29,24,"33,4",28,85.0,"2,5","7,1",7.0,340.0,2.0,SE
2013-03-30,"24,2","34,2","28,1",86.0,0,"6,4",6.0,330.0,2.0,NW
2013-03-31,"24,8","33,6","28,1",88.0,0,"5,6",5.0,300.0,2.0,NW
2013-04-01,"25,6","33,4","27,8",86.0,0,"6,8",11.0,360.0,2.0,NW
2013-04-02,"23,6",29,"25,8",96.0,"1,1","0,9",3.0,120.0,0.0,SE
2013-04-03,"23,4","31,4","26,9",90.0,39,"1,9",3.0,360.0,0.0,N 
2013-04-04,"23,6","32,4","26,6",90.0,"1,8",0,3.0,300.0,0.0,N 
2013-04-05,"24,6","33,2",28,86.0,"4,7","5,7",6.0,360.0,1.0,N 
2013-04-06,"24,2","33,6","27,3",88.0,"1,3","0,6",6.0,200.0,2.0,NW
2013-04-07,"23,2","34,2","27,8",85.0,,"7,3",4.0,240.0,0.0,SW
2013-04-08,"23,6","34,2","27,6",86.0,0,"7,2",4.0,320.0,0.0,NW
2013-04-09,"23,4",34,"27,1",89.0,0,"6,2",3.0,360.0,0.0,S 
2013-04-10,"24,6","31,4","25,9",97.0,0,2,6.0,340.0,1.0,N 
2013-04-11,"24,2","31,2","26,6",90.0,"17,5",0,5.0,270.0,1.0,NW
2013-04-12,"23,4","33,2","27,3",90.0,"5,8","6,3",8.0,100.0,2.0,E 
2013-04-13,"24,4","33,2","27,2",91.0,0,"3,7",8.0,300.0,0.0,E 
2013-04-14,24,"31,8","25,1",98.0,"1,5","3,2",4.0,180.0,0.0,NW
2013-04-15,"23,2","28,8","25,7",95.0,"27,9","0,2",3.0,200.0,0.0,S 
2013-04-16,"24,6","33,8","27,2",90.0,0,"3,6",6.0,180.0,1.0,W 
2013-04-17,"23,6","31,2","28,3",84.0,11,"0,1",5.0,300.0,2.0,NW
2013-04-18,"23,4","34,6","27,7",86.0,0,"6,1",4.0,340.0,0.0,N 
2013-04-19,"23,6","33,4","27,3",85.0,0,"6,5",4.0,320.0,2.0,N 
2013-04-20,"23,6",33,"27,5",86.0,0,8,8.0,300.0,3.0,NW
2013-04-21,"23,8","33,6","27,7",87.0,0,8,5.0,300.0,1.0,N 
2013-04-22,"22,2",34,"26,8",88.0,0,"5,8",4.0,320.0,1.0,NW
2013-04-23,24,33,"27,8",89.0,0,"5,2",8.0,300.0,2.0,NW
2013-04-24,"24,6","34,2","26,8",93.0,0,"5,5",8.0,300.0,2.0,NW
2013-04-25,23,"32,6",26,92.0,57,"4,7",5.0,300.0,1.0,N 
2013-04-26,"23,2",33,"26,5",88.0,"2,3","5,5",3.0,270.0,0.0,N 
2013-04-27,"23,2","31,6","26,9",90.0,1,"2,3",8.0,270.0,0.0,W 
2013-04-28,"22,8","33,6","26,6",89.0,0,"6,5",4.0,140.0,0.0,S 
2013-04-29,"23,2","33,8","27,6",89.0,0,"7,8",5.0,350.0,2.0,N 
2013-04-30,24,"33,2","26,5",93.0,0,"3,7",8.0,270.0,2.0,NW
2013-05-01,23,"33,4","25,4",92.0,"5,5","4,1",6.0,140.0,0.0,SW
2013-05-02,"23,2",32,"26,2",94.0,"60,7","4,5",4.0,30.0,0.0,S 
2013-05-03,"23,2","31,2","26,1",93.0,44,"1,9",3.0,140.0,0.0,SE
2013-05-04,"23,6","33,2","26,7",90.0,"3,5","4,4",3.0,340.0,0.0,NW
2013-05-05,24,"31,8","26,5",94.0,"35,5","1,4",4.0,340.0,0.0,N 
2013-05-06,"24,4","31,4","26,4",95.0,"15,3","3,1",5.0,200.0,0.0,S 
2013-05-07,"24,2","33,8","26,9",93.0,14,"4,2",5.0,300.0,1.0,SW
2013-05-08,"24,2","33,8","27,4",90.0,9,"4,4",4.0,150.0,0.0,N 
2013-05-09,"24,2","32,8","27,5",92.0,"2,3","5,1",3.0,200.0,1.0,SW
2013-05-10,"25,6","27,4","25,7",98.0,"4,8",0,4.0,120.0,0.0,SE
2013-05-11,24,"29,2","26,3",91.0,"23,6",0,6.0,180.0,0.0,S 
2013-05-12,25,"29,8","27,5",84.0,2,"0,4",6.0,180.0,2.0,S 
2013-05-13,"24,6","31,6","26,7",92.0,"0,5","3,1",3.0,90.0,1.0,SE
2013-05-14,"24,4","33,6","27,2",94.0,1,"4,5",6.0,270.0,1.0,W 
2013-05-15,"23,6","34,8","28,5",85.0,"3,5",7,3.0,270.0,0.0,W 
2013-05-16,"23,6","33,4","27,7",87.0,0,"7,4",7.0,180.0,2.0,S 
2013-05-17,"23,8","34,8","27,9",92.0,0,"5,2",4.0,120.0,1.0,SE
2013-05-18,"24,4",34,28,86.0,0,"5,6",5.0,10.0,2.0,N 
2013-05-19,"24,6","33,4","28,7",84.0,,"2,1",3.0,200.0,1.0,SW
2013-05-20,"23,4","34,8","27,8",88.0,0,8,4.0,320.0,0.0,NW
2013-05-21,"22,4","33,8","27,2",86.0,0,"7,7",7.0,360.0,2.0,N 
2013-05-22,"20,8","33,2","26,3",84.0,0,8,4.0,340.0,1.0,N 
2013-05-23,21,"33,6","26,5",85.0,0,"7,4",6.0,180.0,1.0,S 
2013-05-24,"22,8","34,6",28,84.0,0,"7,7",6.0,180.0,2.0,W 
2013-05-25,"24,2",33,"25,9",95.0,0,2,3.0,200.0,0.0,N 
2013-05-26,"22,8","32,4","26,7",86.0,"2,3",3,7.0,260.0,2.0,NW
2013-05-27,"24,2","33,8","27,8",83.0,0,"6,3",6.0,220.0,1.0,SW
2013-05-28,"23,4","32,6","25,7",94.0,0,"4,7",5.0,340.0,1.0,N 
2013-05-29,"22,8","35,4","27,9",83.0,"4,1","6,4",6.0,270.0,1.0,W 
2013-05-30,"22,2","35,8","27,4",84.0,0,8,3.0,270.0,0.0,SE
2013-05-31,"21,4","33,8",27,84.0,0,"7,7",5.0,360.0,1.0,N 
2013-06-01,23,"34,6","27,6",89.0,0,8,5.0,340.0,1.0,N 
2013-06-02,23,"32,2","27,4",88.0,"19,1","4,8",3.0,200.0,1.0,N 
2013-06-03,"24,4","33,6","27,8",85.0,,"6,3",9.0,260.0,2.0,SW
2013-06-04,"23,8","32,6","27,8",84.0,"9,5",2,10.0,240.0,2.0,W 
2013-06-05,25,"34,4","29,7",79.0,0,"4,3",7.0,240.0,1.0,W 
2013-06-06,24,"33,8","28,2",87.0,0,"2,6",4.0,360.0,1.0,N 
2013-06-07,"24,6","34,6","28,5",88.0,0,"7,9",4.0,360.0,0.0,N 
2013-06-08,"23,6","34,2","27,9",85.0,0,8,4.0,180.0,1.0,SW
2013-06-09,24,"30,8",27,88.0,0,"0,8",10.0,340.0,2.0,N 
2013-06-10,"25,2","30,2","28,7",83.0,"17,9","2,1",8.0,360.0,2.0,NW
2013-06-11,"23,4","27,2","24,8",95.0,"7,7",0,2.0,270.0,0.0,W 
2013-06-12,"25,4",31,28,83.0,33,"0,8",5.0,270.0,1.0,S 
2013-06-13,"24,4","31,4","26,6",88.0,"11,3",0,16.0,330.0,2.0,W 
2013-06-14,"23,2","32,6","29,7",79.0,"7,9",1,6.0,270.0,1.0,W 
2013-06-15,"25,4","33,2","28,3",88.0,0,0,10.0,270.0,2.0,SW
2013-06-16,"24,8","31,6","26,3",93.0,"3,6","4,1",2.0,120.0,0.0,SE
2013-06-17,"24,8","32,2",28,88.0,"10,8","4,2",4.0,180.0,1.0,S 
2013-06-18,"24,2","29,6","26,9",87.0,"4,2",0,12.0,230.0,2.0,W 
2013-06-19,"24,2",30,"26,7",88.0,"8,1","0,4",5.0,220.0,0.0,SW
2013-06-20,"24,6",32,"27,7",86.0,"6,7","6,2",3.0,180.0,1.0,S 
2013-06-21,"27,2","32,6","29,3",82.0,0,"4,1",5.0,300.0,2.0,S 
2013-06-22,27,"32,4","29,1",81.0,0,"3,3",5.0,270.0,2.0,W 
2013-06-23,27,"33,6","29,3",83.0,2,"6,5",8.0,180.0,3.0,SE
2013-06-24,24,34,"27,7",86.0,"0,4","3,7",8.0,10.0,1.0,N 
2013-06-25,23,"33,4","27,4",88.0,,"4,2",3.0,350.0,0.0,N 
2013-06-26,"23,2","32,2","27,2",81.0,0,"0,7",4.0,270.0,0.0,W 
2013-06-27,23,"33,8","27,4",78.0,0,"5,7",2.0,50.0,0.0,NW
2013-06-28,"21,6","33,8","26,6",77.0,0,"7,7",4.0,340.0,1.0,N 
2013-06-29,"21,6","33,8",27,80.0,0,8,3.0,360.0,0.0,N 
2013-06-30,"22,6","34,4","27,1",82.0,0,8,4.0,360.0,1.0,N 
2013-07-01,"22,6","33,6","27,4",78.0,0,8,6.0,260.0,2.0,N 
2013-07-02,"24,4","32,4","27,2",76.0,1,2,5.0,250.0,2.0,N 
2013-07-03,"24,4","32,6","25,3",89.0,"4,1","1,8",5.0,30.0,0.0,N 
2013-07-04,"22,8","30,4","26,4",81.0,23,"0,4",3.0,120.0,0.0,SE
2013-07-05,23,"32,2","27,6",72.0,,"3,3",3.0,20.0,0.0,N 
2013-07-06,"22,4","33,2","27,1",80.0,0,"7,9",4.0,360.0,1.0,N 
2013-07-07,"23,6","32,8","26,9",80.0,0,"3,1",3.0,180.0,0.0,S 
2013-07-08,"23,2","30,4","27,2",71.0,6,"0,6",8.0,200.0,2.0,S 
2013-07-09,"23,2","32,6","27,1",74.0,"0,5","6,4",5.0,180.0,1.0,S 
2013-07-10,"22,4","32,4","26,7",81.0,"5,7","2,5",3.0,270.0,0.0,W 
2013-07-11,22,"33,6","26,7",80.0,0,"0,8",3.0,180.0,0.0,NW
2013-07-12,"20,8","33,4","26,1",77.0,0,"4,2",4.0,50.0,1.0,N 
2013-07-13,"20,8",34,"28,2",69.0,0,8,6.0,180.0,2.0,S 
2013-07-14,"20,8",33,"28,7",67.0,0,"3,3",11.0,180.0,2.0,S 
2013-07-15,"21,2","31,4","29,4",61.0,0,0,4.0,180.0,1.0,S 
2013-07-16,"22,6","26,6","23,8",96.0,11,0,9.0,130.0,1.0,SE
2013-07-17,"22,4","33,6","27,4",77.0,"14,1","7,6",4.0,250.0,0.0,W 
2013-07-18,"22,8","33,4","27,3",77.0,0,"6,5",5.0,230.0,2.0,S 
2013-07-19,"26,4","32,4","29,3",61.0,0,"1,5",5.0,180.0,2.0,S 
2013-07-20,25,"32,8","28,6",78.0,0,"0,7",3.0,150.0,0.0,S 
2013-07-21,"20,8","33,6","26,1",77.0,0,"4,7",5.0,250.0,1.0,SW
2013-07-22,"23,8","33,4","27,8",70.0,0,"6,6",7.0,180.0,2.0,SE
2013-07-23,"25,4","33,6","28,9",70.0,0,"1,7",4.0,300.0,0.0,NW
